ksh_code,line_code,osm_id,osm_name,distance_m
22789,103,,Tiszaszentimre,15.8
22798,86,,Jászkisér,6.2
22822,30,,Balatonszemes,5.4
22831,8,,Petőháza,1.8
23010,25,,Ukk,18.3
23010,26,,Ukk,35.6
23056,145,,Nyárlőrinc,4.0
23065,125,,Orosháza,2.9
23065,135,,Orosháza,1.9
23065,147,,Orosháza,18.1
23092,35,,Siójut,3.9
23108,25,,Pankasz,4.3
23162,40,,Bükkösd,1.9
23171,103,,Kunmadaras,7.4
23214,100,,Téglás,0.0
23241,80,,Adács,1.8
23269,110,,Nyírmeggyes,3.7
23278,1,,Budaörs,4.5
23296,41,,Kapospula,5.9
23302,26,,Gyenesdiás,5.5
23339,82,,Jászfényszaru,10.5
23524,109,,Tiszalök,233.5
23524,117,,Tiszalök,15.6
23560,10,,Mezőlak,9.0
23603,40E,,Ercsi,1.4
23630,35,,Mernye,4.8
23649,70,,Göd,15.7
23658,20,,Herend,19.0
23676,140,,Balástya,4.8
23694,40,,Sárbogárd,14.0
23861,21,,Rátót,2.9
23870,125,,Szarvas,0.5
23931,128,,Méhkerék,2.4
23940,128,,Sárrétudvari,4.9
23959,65,,Mohács,26.2
23986,75,,Nagyoroszi,7.2
24077,121,,Deszk,3.8
24147,84,,Verpelét,16.6
24192,46,,Fácánkert,2.9
24235,102,,Erdőtelek,1.3
24271,25,,Pakod,6.1
24305,11,,Pannonhalma,8.0
24396,149,,Kiskunmajsa,71.6
24396,155,,Kiskunmajsa,13.2
24493,35,,Kisbárapáti,9.2
24518,120a,,Ecser,1.9
24545,146,,Tiszaalpár,2.3
24651,10,,Vinár,4.8
24721,14,,Rábapordány,12.4
24828,128,,Biharnagybajom,1.4
24907,30,,Balatonszárszó,3.0
24916,70,,Szob,3.6
24916,70,,Szob,30.7
24934,70,,Vác,14.1
24934,71,,Vác,76.5
24934,75,,Vác,18.9
24970,90,,Hernádszurdok,2.6
24989,46,,Decs,2.0
25016,30,,Velence,6.8
25061,150,,Szabadszállás,10.6
25131,2,,Esztergom,0.3
25140,40,,Sárosd,5.3
25168,128,,Sarkadkeresztúr,4.3
25177,66,,Magyarbóly,4.6
25210,30,,Murakeresztúr,2.9
25229,5,,Bakonysárkány,6.7
25326,80,,Erdőbénye,7.4
25335,8,,Rábapatona,1.7
25353,25,,Kemendollár,10.8
25450,20,,Öskü,7.8
25487,2,,Leányvár,2.7
25502,120,,Csárdaszállás,1.1
25584,1,,Győr,4.7
25584,8,,Győr,21.9
25593,26,,Sümeg,2.3
25618,90,,Méra,7.4
25627,142,,Gyál,2.5
25654,20,,Kerta,16.0
25663,78,,Galgaguta,10.9
25715,5,,Moha,17.4
25724,15,,Sopronkövesd,0.0
25733,130,,Mártély,2.8
25788,81,,Salgótarján,4.9
25788,81M,,Salgótarján,10.1
25849,25,,Rigács,2.9
25867,41,,Kaposhomok,2.1
25919,100,,Kisújszállás,0.5
25937,150,,Balotaszállás,8.5
25946,21,,Egyházasrádóc,2.5
25973,110,,Nyírcsászári,3.0
26116,101,,Sáp,2.1
26143,20,,Nagysimonyi,10.1
26365,110,,Nyírmihálydi,0.9
26383,147,,Gátér,8.2
26392,36,,Pamuk,3.0
26408,47,,Komló,2.0
26426,20,,Vép,21.6
26499,11,,Zirc,8.9
26499,11a,,Zirc,3.4
26532,37,,Böhönye,0.0
26569,20,,Somlóvásárhely,9.5
26578,60,,Szigetvár,7.7
26587,1,,Rajka,26.4
26611,100,,Újfehértó,4.9
26648,10,,Vaszar,5.0
26666,121,,Kiszombor,2.6
26675,02,,Lengyeltóti,5.8
26675,36,,Lengyeltóti,10.7
26684,140,,Kecskemét,2.8
26684,142,,Kecskemét,12.0
26684,145,,Kecskemét,1.9
26693,101,,Báránd,0.0
26709,135,,Csorvás,3.0
26718,98,,Abaújkér,4.9
26772,16,,Csánig,2.5
26781,36,,Várda,4.7
26815,100,,Vecsés,4.4
26824,43,,Alap,3.5
26949,92,,Sajókeresztúr,1.4
27094,10,,Celldömölk,7.8
27094,20,,Celldömölk,12.1
27128,77,,Galgamácsa,9.9
27146,100,,Komoró,0.0
27146,284,,Komoró,18.6
27146,400,,Komoró,39.4
27164,60,,Nagypeterd,0.6
27191,90,,Novajidrány,3.9
27207,26,,Zalagyömörő,7.2
27313,100,,Törökszentmiklós,4.5
27331,92,,Sajóecseg,2.3
27340,74,,Nógrádszakál,2.0
27340,78,,Nógrádszakál,2.4
