osm_id,osm_name,normalized_name,reason,candidate_ksh_code,candidate_line_code
n1212434077,Fertőszéplak-Fertőd,Fertőszéplak-Fertőd,NO_UNIQUE_KSH_NAME,,
n611874743,Festetics Antal,Festetics Antal,NO_UNIQUE_KSH_NAME,,
n6349828887,Filatorigát,Filatorigát,NO_UNIQUE_KSH_NAME,,
n8458084206,Fonyódliget,Fonyódliget,NO_UNIQUE_KSH_NAME,,
n5217848812,Forgách utca,Forgách utca,NO_UNIQUE_KSH_NAME,,
n5972892361,Forró-Encs,Forró-Encs,NO_UNIQUE_KSH_NAME,,
n11082653644,Fényes,Fényes,NO_UNIQUE_KSH_NAME,,
n10160028435,Fótfürdő,Fótfürdő,NO_UNIQUE_KSH_NAME,,
n10160028433,Fótújfalu,Fótújfalu,NO_UNIQUE_KSH_NAME,,
n80221141,Fövenyes,Fövenyes,NO_UNIQUE_KSH_NAME,,
n1065129415,Fürjes,Fürjes,NO_UNIQUE_KSH_NAME,,
n1065130283,Füzesbokor,Füzesbokor,NO_UNIQUE_KSH_NAME,,
n1065130471,Füzesgyarmatfürdő,Füzesgyarmatfürdő,NO_UNIQUE_KSH_NAME,,
n6383721768,Főbejárat,Főbejárat,NO_UNIQUE_KSH_NAME,,
n6376038704,Fővám tér,Fővám tér,NO_UNIQUE_KSH_NAME,,
n1262974430,Gacsály,Gacsály,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1065130535,Galambos,Galambos,NO_UNIQUE_KSH_NAME,,
n9323403675,Garadna,Garadna,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n5262529317,Gecse-Gyarmat,Gecse-Gyarmat,NO_UNIQUE_KSH_NAME,,
n94290645,Gelse,Gelse,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n5474258782,Gemenc-Dunapart,Gemenc-Dunapart,NO_UNIQUE_KSH_NAME,,
n3561907549,Gemenci delta,Gemenci delta,NO_UNIQUE_KSH_NAME,,
n765894082,Gencsapáti alsó,Gencsapáti alsó,NO_UNIQUE_KSH_NAME,,
n1063783427,Gencsapáti felső,Gencsapáti felső,NO_UNIQUE_KSH_NAME,,
