ksh_code,settlement_name,county_name,line_code,line_name,service_area,service_area_id,status,reason
20297,Kiskunfélegyháza,Bács-Kiskun,155,155. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
20303,Apagy,Szabolcs-Szatmár-Bereg,116,116. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
21069,Dunaegyháza,Bács-Kiskun,151,151. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
21148,Apostag,Bács-Kiskun,151,151. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
21175,Balatonfüred,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
22220,Marcaltő,Veszprém,14,14. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
22284,Ófehértó,Szabolcs-Szatmár-Bereg,116,116. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
22327,Badacsonytomaj,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
22406,Hajdúnánás,Hajdú-Bihar,109,109. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
22600,Magyarszék,Baranya,47,47. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
22691,Veszprémvarsány,Győr-Moson-Sopron,13,13. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
23056,Nyárlőrinc,Bács-Kiskun,145,145. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
23269,Nyírmeggyes,Szabolcs-Szatmár-Bereg,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
23339,Jászfényszaru,Jász-Nagykun-Szolnok,82,82. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
23524,Tiszalök,Szabolcs-Szatmár-Bereg,117,117. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
23986,Nagyoroszi,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
24396,Kiskunmajsa,Bács-Kiskun,155,155. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
24721,Rábapordány,Győr-Moson-Sopron,14,14. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
24934,Vác,Pest,75,75. számú vasútvonal,Budapest,fbde9347-bee0-4f09-bc77-2beb642d8589,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
25177,Magyarbóly,Baranya,66,66. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
25973,Nyírcsászári,Szabolcs-Szatmár-Bereg,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
26365,Nyírmihálydi,Szabolcs-Szatmár-Bereg,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
26408,Komló,Baranya,47,47. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
26684,Kecskemét,Bács-Kiskun,145,145. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
26824,Alap,Fejér,43,43. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
28024,Villány,Baranya,66,66. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
28352,Tiszaújváros,Borsod-Abaúj-Zemplén,89,89. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
28440,Nyírgelse,Szabolcs-Szatmár-Bereg,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
28538,Vajszló,Baranya,62,62. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
28705,Szabadbattyán,Fejér,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
