ksh_code,name,county_name
07126,Hetvehely,Baranya
07135,Cserszegtomaj,Zala
07144,Piliscsaba,Pest
07153,Palkonya,Baranya
07162,Pácsony,Vas
07171,Sorkifalud,Vas
07180,Sarud,Heves
07199,Patak,Nógrád
07205,Újvárfalva,Somogy
07214,Acsád,Vas
07223,Vadna,Borsod-Abaúj-Zemplén
07232,Zalaszentlászló,Zala
07241,Apc,Heves
07250,Hosztót,Veszprém
07269,Lepsény,Fejér
07278,Püspökmolnári,Vas
07287,Bakonykoppány,Veszprém
07296,Bögöte,Vas
07302,Adásztevel,Veszprém
07311,Bokod,Komárom-Esztergom
07320,Debercsény,Nógrád
07339,Aszófő,Veszprém
07348,Papkeszi,Veszprém
07357,Makó,Csongrád-Csanád
07366,Szárász,Baranya
07375,Balatonkeresztúr,Somogy
07384,Solymár,Pest
07393,Gerendás,Békés
07409,Pásztó,Nógrád
07418,Kengyel,Jász-Nagykun-Szolnok
07427,Bazsi,Veszprém
07436,Parád,Heves
07445,Kocsord,Szabolcs-Szatmár-Bereg
07463,Mérk,Szabolcs-Szatmár-Bereg
07472,Berkesz,Szabolcs-Szatmár-Bereg
07481,Győrújbarát,Győr-Moson-Sopron
07490,Tószeg,Jász-Nagykun-Szolnok
07506,Lajoskomárom,Fejér
07515,Domoszló,Heves
07524,Drágszél,Bács-Kiskun
07533,Bürüs,Baranya
07542,Szentlőrinckáta,Pest
07551,Rádóckölked,Vas
07560,Garé,Baranya
07579,Zalabaksa,Zala
07588,Felsőregmec,Borsod-Abaúj-Zemplén
07597,Tiszavasvári,Szabolcs-Szatmár-Bereg
07603,Bánfa,Baranya
07612,Dunavecse,Bács-Kiskun
07621,Alsótold,Nógrád
07630,Kömlőd,Komárom-Esztergom
07649,Harka,Győr-Moson-Sopron
07658,Nemeshetés,Zala
07667,Oszkó,Vas
07676,Gyulaháza,Szabolcs-Szatmár-Bereg
07685,Dombóvár,Tolna
07694,Szőkéd,Baranya
07700,Szepetnek,Zala
07719,Dámóc,Borsod-Abaúj-Zemplén
07728,Kunbaracs,Bács-Kiskun
07737,Merenye,Baranya
07746,Répcevis,Győr-Moson-Sopron
07755,Óföldeák,Csongrád-Csanád
07764,Kánó,Borsod-Abaúj-Zemplén
07773,Dencsháza,Baranya
07782,Döbröce,Zala
07807,Isaszeg,Pest
07816,Kisbodak,Győr-Moson-Sopron
07825,Monok,Borsod-Abaúj-Zemplén
07834,Derekegyház,Csongrád-Csanád
07843,Jánkmajtis,Szabolcs-Szatmár-Bereg
07852,Tiszaszőlős,Jász-Nagykun-Szolnok
07861,Dunapataj,Bács-Kiskun
07870,Szigetcsép,Pest
07889,Szőlősardó,Borsod-Abaúj-Zemplén
07898,Halimba,Veszprém
07904,Nyírcsaholy,Szabolcs-Szatmár-Bereg
07913,Nemesdéd,Somogy
07922,Szentgál,Veszprém
07931,Kisapáti,Veszprém
07940,Viszák,Vas
07959,Szilaspogony,Nógrád
07968,Murarátka,Zala
07977,Ispánk,Vas
07986,Bucsuta,Zala
07995,Lövőpetri,Szabolcs-Szatmár-Bereg
08004,Hét,Borsod-Abaúj-Zemplén
08013,Felsőjánosfa,Vas
08022,Bükkszentkereszt,Borsod-Abaúj-Zemplén
08040,Csoma,Somogy
08059,Nemesszentandrás,Zala
08068,Gellénháza,Zala
08077,Szendrő,Borsod-Abaúj-Zemplén
08086,Ináncs,Borsod-Abaúj-Zemplén
08095,Imrehegy,Bács-Kiskun
08101,Sárhida,Zala
08110,Kórós,Baranya
08129,Sajóörös,Borsod-Abaúj-Zemplén
08138,Várad,Baranya
08147,Szászfa,Borsod-Abaúj-Zemplén
08156,Drégelypalánk,Nógrád
08165,Tard,Borsod-Abaúj-Zemplén
08174,Felsőberecki,Borsod-Abaúj-Zemplén
08183,Vése,Somogy
08192,Bordány,Csongrád-Csanád
08208,Budapest 16. ker.,főváros
08217,Alsótelekes,Borsod-Abaúj-Zemplén
08226,Hegyhátszentpéter,Vas
08244,Nagyszénás,Békés
08253,Klárafalva,Csongrád-Csanád
08262,Nagygyimót,Veszprém
08271,Cák,Vas
08280,Telki,Pest
08299,Bakonya,Baranya
08305,Bócsa,Bács-Kiskun
08314,Hódmezővásárhely,Csongrád-Csanád
08323,Gyöngyöspata,Heves
08332,Táborfalva,Pest
08341,Okorvölgy,Baranya
08350,Harkakötöny,Bács-Kiskun
08369,Vöckönd,Zala
08378,Jászszentlászló,Bács-Kiskun
08387,Nógrádsáp,Nógrád
08396,Boldva,Borsod-Abaúj-Zemplén
08402,Regéc,Borsod-Abaúj-Zemplén
08411,Kastélyosdombó,Somogy
08420,Napkor,Szabolcs-Szatmár-Bereg
08439,Bánokszentgyörgy,Zala
08448,Értény,Tolna
08457,Pilisszentlászló,Pest
08466,Beloiannisz,Fejér
08475,Szajk,Baranya
08484,Szentistvánbaksa,Borsod-Abaúj-Zemplén
08493,Csenyéte,Borsod-Abaúj-Zemplén
08509,Kishódos,Szabolcs-Szatmár-Bereg
08518,Sopron,Győr-Moson-Sopron
08527,Sirok,Heves
08536,Szany,Győr-Moson-Sopron
08545,Őrbottyán,Pest
08554,Tiszakanyár,Szabolcs-Szatmár-Bereg
08563,Csapod,Győr-Moson-Sopron
08572,Kétújfalu,Baranya
08581,Baracska,Fejér
08590,Tab,Somogy
08606,Sikátor,Győr-Moson-Sopron
08615,Szentliszló,Zala
08624,Bársonyos,Komárom-Esztergom
08633,Tiszapalkonya,Borsod-Abaúj-Zemplén
08642,Kálló,Nógrád
08651,Kisszentmárton,Baranya
08660,Demjén,Heves
08679,Öregcsertő,Bács-Kiskun
08688,Süttő,Komárom-Esztergom
08697,Bácsszentgyörgy,Bács-Kiskun
08703,Büssü,Somogy
08712,Jobbágyi,Nógrád
08721,Győrasszonyfa,Győr-Moson-Sopron
08730,Bakonycsernye,Fejér
08749,Karakószörcsök,Veszprém
08758,Tát,Komárom-Esztergom
08767,Alsószenterzsébet,Zala
08776,Ajak,Szabolcs-Szatmár-Bereg
08785,Újsolt,Bács-Kiskun
08794,Tiszakóród,Szabolcs-Szatmár-Bereg
08800,Siklósnagyfalu,Baranya
08819,Felsőszentmárton,Baranya
08828,Teskánd,Zala
08837,Háromfa,Somogy
08846,Baskó,Borsod-Abaúj-Zemplén
08855,Karancskeszi,Nógrád
08864,Bátaszék,Tolna
08873,Apátistvánfalva,Vas
08882,Peresznye,Vas
08891,Biatorbágy,Pest
08907,Nagykereki,Hajdú-Bihar
08916,Magyarföld,Zala
08925,Adony,Fejér
08934,Vámosoroszi,Szabolcs-Szatmár-Bereg
08943,Körösszegapáti,Hajdú-Bihar
08952,Tiborszállás,Szabolcs-Szatmár-Bereg
08961,Őcsény,Tolna
08970,Sajósenye,Borsod-Abaúj-Zemplén
08989,Vámospércs,Hajdú-Bihar
08998,Túrricse,Szabolcs-Szatmár-Bereg
09007,Szalatnak,Baranya
09016,Monaj,Borsod-Abaúj-Zemplén
09025,Őr,Szabolcs-Szatmár-Bereg
09034,Berkenye,Nógrád
09043,Szente,Nógrád
09052,Tarnaszentmária,Heves
09061,Rápolt,Szabolcs-Szatmár-Bereg
09070,Csénye,Vas
09089,Gelsesziget,Zala
09098,Kaposfő,Somogy
09104,Vácszentlászló,Pest
09113,Tiszaeszlár,Szabolcs-Szatmár-Bereg
09122,Farmos,Pest
09131,Bag,Pest
09140,Lórév,Pest
09159,Drávakeresztúr,Baranya
09168,Belezna,Zala
09177,Gige,Somogy
09186,Dunaszekcső,Baranya
09195,Vásárosmiske,Vas
09201,Detk,Heves
09210,Földeák,Csongrád-Csanád
09229,Tokorcs,Vas
09238,Nyírgyulaj,Szabolcs-Szatmár-Bereg
09247,Dabas,Pest
09256,Nyírtét,Szabolcs-Szatmár-Bereg
09265,Kisvárda,Szabolcs-Szatmár-Bereg
09274,Varászló,Somogy
09283,Nagygeresd,Vas
09292,Gecse,Veszprém
09308,Szemely,Baranya
09317,Révleányvár,Borsod-Abaúj-Zemplén
09326,Jágónak,Tolna
09344,Kiskőrös,Bács-Kiskun
09353,Aranyosapáti,Szabolcs-Szatmár-Bereg
09362,Aggtelek,Borsod-Abaúj-Zemplén
09371,Pálfa,Tolna
09380,Zalaújlak,Zala
09399,Hernádcéce,Borsod-Abaúj-Zemplén
09405,Tápióság,Pest
09414,Várdomb,Tolna
09423,Tiszaadony,Szabolcs-Szatmár-Bereg
09432,Ecsegfalva,Békés
09441,Gomba,Pest
09450,Márfa,Baranya
09469,Jánoshalma,Bács-Kiskun
09478,Nagyhegyes,Hajdú-Bihar
09487,Fertőendréd,Győr-Moson-Sopron
09496,Szirmabesenyő,Borsod-Abaúj-Zemplén
09502,Vid,Veszprém
09511,Gádoros,Békés
09520,Gyulakeszi,Veszprém
09539,Dunaszentgyörgy,Tolna
09548,Kisvaszar,Baranya
09557,Tomajmonostora,Jász-Nagykun-Szolnok
09566,Budapest 01. ker.,főváros
09575,Kerkaszentkirály,Zala
09584,Dunaharaszti,Pest
09593,Tura,Pest
09609,Recsk,Heves
09618,Pári,Tolna
09627,Tiszatenyő,Jász-Nagykun-Szolnok
09636,Görcsönydoboka,Baranya
09645,Vörs,Somogy
09654,Ilk,Szabolcs-Szatmár-Bereg
09663,Babarcszőlős,Baranya
09672,Nemesrempehollós,Vas
09681,Cégénydányád,Szabolcs-Szatmár-Bereg
09690,Halásztelek,Pest
09706,Gömörszőlős,Borsod-Abaúj-Zemplén
09715,Császló,Szabolcs-Szatmár-Bereg
09724,Győrvár,Vas
09733,Vigántpetend,Veszprém
09742,Felsődobsza,Borsod-Abaúj-Zemplén
09751,Kisszekeres,Szabolcs-Szatmár-Bereg
09760,Békés,Békés
09779,Csór,Fejér
09788,Sárfimizdó,Vas
09797,Nézsa,Nógrád
09803,Szentkatalin,Baranya
09812,Kisgörbő,Zala
09821,Pilis,Pest
