ksh_code,reason
05236,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05245,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05254,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05263,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05272,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05281,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05290,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05306,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05315,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05324,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05333,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05342,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05351,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05360,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05379,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05388,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05397,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05403,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05412,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05421,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05430,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05449,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05458,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05467,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05476,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05485,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05494,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05500,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05519,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05528,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05537,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05546,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05555,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05564,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05573,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05582,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05591,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05607,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05616,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05625,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05634,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05643,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05652,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05661,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05670,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05689,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05698,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05704,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05713,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05722,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05731,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05740,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05759,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05768,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05777,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05786,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05795,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05801,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05810,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05829,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05838,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05847,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05856,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05865,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05874,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05883,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05892,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05917,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05926,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05935,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05944,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05953,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05962,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05971,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05980,NO_VERIFIED_RAILWAY_LINE_REFERENCE
05999,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06008,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06017,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06026,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06035,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06044,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06053,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06062,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06071,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06080,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06099,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06105,NO_VERIFIED_RAILWAY_LINE_REFERENCE
