ksh_code,settlement_name,county_name,area_code,basis
03595,Abaújszántó,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03601,Sóly,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
03610,Malomsok,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
03629,Géberjén,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
03638,Balatonhenye,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
03647,Döge,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
03656,Bátmonostor,Bács-Kiskun,ORSZEM-BACS-KISKUN,KSH_COUNTY
03665,Cered,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
03674,Nemeskeresztúr,Vas,ORSZEM-VAS,KSH_COUNTY
03683,Magyarhomorog,Hajdú-Bihar,ORSZEM-HAJDU-BIHAR,KSH_COUNTY
03692,Mende,Pest,ORSZEM-PEST,KSH_COUNTY
03708,Taktabáj,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03717,Tiszadorogma,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03726,Zebecke,Zala,ORSZEM-ZALA,KSH_COUNTY
03735,Bárdudvarnok,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
03744,Gagyvendégi,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03753,Rábcakapi,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
03762,Kiskinizs,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03771,Arnót,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03780,Ócsárd,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03799,Csákány,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
03805,Szakáld,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03814,Hévíz,Zala,ORSZEM-ZALA,KSH_COUNTY
03823,Ároktő,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03832,Keszü,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03841,Bokor,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
03850,Tiszabercel,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
03869,Kistormás,Tolna,ORSZEM-TOLNA,KSH_COUNTY
03878,Nyírpilis,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
03887,Szerecseny,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
